subject,from_email,receivedDateTime,body_preview,body,company,status,label,processed_body
Thank you for applying to Twilio!,no-reply@twilio.com,2024-11-09T23:43:10Z,Thank you for your interest in a role at Twilio! We just received your application. We know that job hunting can be stressful. Our intention is to be transparent about our hiring process to help you succeed...,"Hi Alec-Nesat, Thank you for your interest in a role at Twilio! We just received your application... Thank you, -Twilio Recruiting Team #WeBuildAtTwilio",Twilio,Received,1,hi Alec Nesat thank interest role Twilio receive application thank -Twilio Recruiting Team webuildattwilio
Thank you for applying to Global Relay,careers@globalrelay.net,2024-11-07T22:59:10Z,Thank you for applying for the Junior Software Developer in Test position at Global Relay. We really appreciate your interest in joining our team!...,Thank you for applying for the Junior Software Developer in Test position at Global Relay. We really appreciate your interest in joining our team...,Global Relay,Pending,1,thank apply Junior Software Developer test position Global Relay appreciate interest join team
You Applied to Sprout Social,no-reply@us.greenhouse-mail.io,2024-11-07T13:27:09Z,"Alec-Nesat, Thanks for applying to the position of Associate Software Engineer - New Grad...","Alec-Nesat, Thanks for applying to the position of Associate Software Engineer - New Grad... Best Regards, The Sprout Social People Team",Sprout Social,Pending,1,Alec Nesat thank apply position Associate Software Engineer New Grad Best Regards Sprout Social People Team
Thank You for Applying,mastercard@myworkday.com,2024-11-07T03:57:23Z,"Thank you for Applying! Dear Alec-Nesat , Thank you for your interest in joining Mastercard! Your application for Software Engineer I has been received...","Thank you for Applying! Dear Alec-Nesat , Thank you for your interest in joining Mastercard...",Mastercard,Received,1,thank Applying Dear Alec Nesat thank interest join Mastercard
Update about your application to Lucid Software,no-reply@us.greenhouse-mail.io,2024-10-23T15:45:15Z,Thank you for applying for our Software Engineer Internship 2025 role here at Lucid Software...,"Hi Alec-Nesat, Thank you for applying for our Software Engineer Internship 2025 role here at Lucid Software... Best regards, The Lucid Software Recruiting Team",Lucid,Rejected,1,hi Alec Nesat thank apply Software Engineer Internship 2025 role Lucid Software good regard Lucid Software Recruiting Team
Interview Invitation from Tech Corp,hr@techcorp.com,2024-10-25T15:00:00Z,We are pleased to invite you for an interview for the role of Software Engineer at Tech Corp...,"Dear Alec-Nesat, Congratulations! We would like to invite you for an interview for the Software Engineer position at Tech Corp...",Tech Corp,Interviewing,1,Dear Alec Nesat Congratulations like invite interview Software Engineer position Tech Corp
Application Rejection Notice,hr@bigdata.com,2024-10-22T12:30:00Z,"After careful consideration, we have decided to not proceed with your application...","Dear Alec-Nesat, Thank you for applying to Big Data Solutions...",Big Data,Rejected,1,Dear Alec Nesat thank apply Big Data Solutions
Offer from DataWave,careers@datawave.com,2024-10-28T11:00:00Z,We are excited to extend an offer to join us at DataWave as a Data Scientist...,"Hi Alec-Nesat, Congratulations! We are thrilled to offer you the Data Scientist position...",DataWave,Offer Accepted,1,hi Alec Nesat Congratulations thrilled offer Data Scientist position
Monthly Newsletter,news@unrelatednewsletter.com,2024-10-05T12:00:00Z,Here’s the latest from our team at Unrelated Newsletter!...,"Hello, here’s what’s new in our latest issue of Unrelated Newsletter!...",Unrelated,,0,hello new late issue unrelated Newsletter
Special Offer - Exclusive Savings,promo@shoppingdeal.com,2024-09-25T08:00:00Z,Get 30% off on your next purchase with this exclusive offer!...,Hello! Shop now and enjoy exclusive savings on your favorite items!...,Shopping Deal,,0,hello Shop enjoy exclusive saving favorite item
