subject,from_email,receivedDateTime,body_preview,body,company,status,label
Thank you for applying to Twilio!,no-reply@twilio.com,2024-11-09T23:43:10Z,Thank you for your interest in a role at Twilio! We just received your application. We know that job hunting can be stressful. Our intention is to be transparent about our hiring process to help you succeed...,"Hi Alec-Nesat, Thank you for your interest in a role at Twilio! We just received your application... Thank you, -Twilio Recruiting Team #WeBuildAtTwilio",Twilio,Received,1
Thank you for applying to Global Relay,careers@globalrelay.net,2024-11-07T22:59:10Z,Thank you for applying for the Junior Software Developer in Test position at Global Relay. We really appreciate your interest in joining our team!...,Thank you for applying for the Junior Software Developer in Test position at Global Relay. We really appreciate your interest in joining our team...,Global Relay,Pending,1
You Applied to Sprout Social,no-reply@us.greenhouse-mail.io,2024-11-07T13:27:09Z,"Alec-Nesat, Thanks for applying to the position of Associate Software Engineer - New Grad...","Alec-Nesat, Thanks for applying to the position of Associate Software Engineer - New Grad... Best Regards, The Sprout Social People Team",Sprout Social,Pending,1
Thank You for Applying,mastercard@myworkday.com,2024-11-07T03:57:23Z,"Thank you for Applying! Dear Alec-Nesat , Thank you for your interest in joining Mastercard! Your application for Software Engineer I has been received...","Thank you for Applying! Dear Alec-Nesat , Thank you for your interest in joining Mastercard...",Mastercard,Received,1
Update about your application to Lucid Software,no-reply@us.greenhouse-mail.io,2024-10-23T15:45:15Z,Thank you for applying for our Software Engineer Internship 2025 role here at Lucid Software...,"Hi Alec-Nesat, Thank you for applying for our Software Engineer Internship 2025 role here at Lucid Software... Best regards, The Lucid Software Recruiting Team",Lucid,Rejected,1
Interview Invitation from Tech Corp,hr@techcorp.com,2024-10-25T15:00:00Z,We are pleased to invite you for an interview for the role of Software Engineer at Tech Corp...,"Dear Alec-Nesat, Congratulations! We would like to invite you for an interview for the Software Engineer position at Tech Corp...",Tech Corp,Interviewing,1
Application Rejection Notice,hr@bigdata.com,2024-10-22T12:30:00Z,"After careful consideration, we have decided to not proceed with your application...","Dear Alec-Nesat, Thank you for applying to Big Data Solutions...",Big Data,Rejected,1
Offer from DataWave,careers@datawave.com,2024-10-28T11:00:00Z,We are excited to extend an offer to join us at DataWave as a Data Scientist...,"Hi Alec-Nesat, Congratulations! We are thrilled to offer you the Data Scientist position...",DataWave,Offer Accepted,1
Monthly Newsletter,news@unrelatednewsletter.com,2024-10-05T12:00:00Z,Here’s the latest from our team at Unrelated Newsletter!...,"Hello, here’s what’s new in our latest issue of Unrelated Newsletter!...",Unrelated,N/A,0
Special Offer - Exclusive Savings,promo@shoppingdeal.com,2024-09-25T08:00:00Z,Get 30% off on your next purchase with this exclusive offer!...,Hello! Shop now and enjoy exclusive savings on your favorite items!...,Shopping Deal,N/A,0
Interview Invitation from Amazon,no-reply@amazon.jobs,2024-11-12T08:30:00Z,We are pleased to invite you for an interview for the Software Engineer position...,"Dear Alec-Nesat, We reviewed your application and are excited to invite you to the next stage of the hiring process at Amazon. Your interview for the Software Engineer position is scheduled for...",Amazon,Interviewing,1
Application Update from Google,careers@google.com,2024-11-10T14:20:45Z,Thank you for your interest in joining Google. We have carefully reviewed your application...,"Hello Alec-Nesat, After careful consideration, we regret to inform you that we have decided to pursue other candidates for the Software Engineer position. We encourage you to apply to other roles that may suit your skills and experience. Best wishes, Google Careers Team.",Google,Rejected,1
Thank you for applying to Netflix,jobs@netflix.com,2024-11-08T11:15:00Z,Thank you for your application! We will be in touch if your profile matches our requirements...,"Hi Alec-Nesat, Thank you for applying to Netflix! We have received your application for the Software Engineering Internship. Our hiring team is currently reviewing your qualifications and will reach out if there's a fit...",Netflix,Pending,1
Online Assessment Invitation from Microsoft,assessment@msft.com,2024-11-15T10:00:00Z,Please complete the online assessment for the Data Analyst position within 7 days...,"Dear Alec-Nesat, Congratulations! You have been selected to complete an online assessment for the Data Analyst role at Microsoft. This assessment is an important part of our hiring process and should be completed within 7 days...",Microsoft,Online Assessment,1
Offer from Tesla for Data Engineer Role,careers@tesla.com,2024-11-18T09:00:00Z,We are excited to extend an offer to join Tesla as a Data Engineer...,"Dear Alec-Nesat, Congratulations! We are thrilled to offer you a position as a Data Engineer at Tesla. Please review the attached offer letter and let us know if you have any questions...",Tesla,Offer Accepted,1
Weekly Tech Insights Newsletter,newsletter@techinsights.com,2024-11-01T07:45:00Z,Here's your latest edition of Tech Insights with updates from around the tech world...,"Hello Subscriber, Welcome to this week’s Tech Insights! In this issue, we cover the latest trends and innovations...",Tech Insights,N/A,0
New Event Invitation: AI Conference 2024,events@aiconference.com,2024-10-29T15:30:00Z,Join us for AI Conference 2024 to learn about the latest in artificial intelligence and machine learning...,"Dear Alec-Nesat, We are excited to invite you to the upcoming AI Conference 2024! Register now to reserve your spot...",AI Conference,N/A,0
Your Monthly Bank Statement,support@yourbank.com,2024-10-25T18:10:00Z,Your October statement is now available for viewing...,"Dear Alec-Nesat, Your bank statement for the month of October is ready. Please log in to your account to view the details...",Your Bank,N/A,0
Thank you for applying to Stripe!,no-reply@careers.stripe.com,2024-11-08T16:43:10Z,"Hi Alec-Nesat, Thank you so much for your application and interest in Stripe.","Hi Alec-Nesat, Thank you so much for your application and interest in Stripe. We received applications from many qualified candidates and unfortunately are going in a direction that better fits our needs at this time. That said, things are constantly evolving at Stripe, and there could be a fit for you down the road. We encourage you to keep an eye on our jobs page for future opportunities. Thanks again and we wish you the best in your search! Kindly, Stripe Recruiting.",,Rejected,1
Thank you for your interest,walmart@myworkday.com,2024-10-20T14:25:12Z,"Hi Alec-Nesat, Thank you for your interest.","Hi Alec-Nesat, Thank you for your interest. We appreciate the time you took to apply with us. At this time we have decided not to move forward with your application for our 2024 Summer Intern: Software Engineer II (Sam's Club) position. This isn't the end, though! If a position opens that closely matches your skills and experience, we may contact you as we have new positions that open all the time. We wish you all the best! Your Sam’s Club Hiring Team.",,Rejected,1
